family_id,family_display_name,family_utility_name,current_label,current_name,current_startdate,earliest_available_startdate,baseline_label,baseline_name,baseline_startdate,name_changed_over_window,actual_years_spanned,blended_energy_rate_cagr_10yr,blended_energy_rate_cagr_10yr_needs_review,years_of_available_history,status,reason
539f6c1bec4f024411eca5cf,Power-Agricultural and Pumping Demand Metered: PA-2 (Under 2kV),Southern California Edison Co,67572f3dc33fc66a3504cc8c,Power-Agricultural and Pumping Demand Metered: PA-2 (Under 2kV),2024-10-01 06:00:00+00:00,2014-01-01 08:00:00+00:00,539f6c1bec4f024411eca5cf,Power-Agricultural and Pumping Demand Metered: PA-2 (Under 2kV),2014-01-01 08:00:00+00:00,False,10.746064339493497,0.055002100198246584,False,10.746064339493497,included,ok
539f6c39ec4f024411eca6a5,"Time of Use, General Service, Demand Metered, Option R: GS-2 TOU R - Three phase (2kV - 50kV)",Southern California Edison Co,539f6c39ec4f024411eca6a5,"Time of Use, General Service, Demand Metered, Option R: GS-2 TOU R - Three phase (2kV - 50kV)",2014-01-01 13:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6c48ec4f024411eca787,CI-TOD4: Commercial and Industrial TOD Subtransmission (1000+ kW),Sacramento Municipal Utility District,68c0cbf86f4f7d79f9018dbc,CI-TOD4: Commercial and Industrial TOD Subtransmission (1000+ kW),2025-05-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,557af9fc5457a35b328ba378,Large General Service Time of Use - GS-TOU1 (GUT_L),2015-04-10 07:00:00+00:00,True,10.05886379192334,0.028667011421238175,False,11.326488706365502,included,ok
539f6c98ec4f024411ecabe3,"Time-Of-Use - General Service - Large: TOU-8, Option B (2 kV - 50kV)",Southern California Edison Co,674f36c0d1b9875c3d07cd2a,"Time-Of-Use - General Service - Large: TOU-8, Option B (2 kV - 50kV)",2024-10-01 06:00:00+00:00,2014-01-01 13:00:00+00:00,539f6c98ec4f024411ecabe3,"Time-Of-Use - General Service - Large: TOU-8, Option B (2 kV - 50kV)",2014-01-01 13:00:00+00:00,False,10.746064339493497,0.037289553689635824,False,10.746064339493497,included,ok
539f6ca7ec4f024411ecac31,"E-19 Medium General Demand TOU (Primary, Voluntary)",Pacific Gas & Electric Co,69de7ec381bf8b311c0576ae,"E-19 Medium General Demand TOU (Primary, Voluntary)",2026-03-27 07:00:00+00:00,2014-01-01 13:00:00+00:00,574dba4a5457a3de795e629e,"E-19 Medium General Demand TOU (Primary, Voluntary)",2016-03-24 07:00:00+00:00,False,10.00684462696783,0.02601316595619685,False,12.229979466119097,included,ok
539f6ceaec4f024411ecaf57,Schedule NM Flat Rate Service-801 - 1200 watts(Summer) (Westside Zone),Turlock Irrigation District,5b4f96505457a38f21c6d675,Schedule NM Flat Rate Service-801 - 1200 watts(Summer) (Westside Zone),2015-01-01 08:00:00+00:00,2009-02-01 13:00:00+00:00,,,,,,,False,5.9110198494182065,excluded,only 5.9 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6cfaec4f024411ecb0a5,Schedule IT Small Industrial Service - Time-Of-Use 35 to 499 kW,Turlock Irrigation District,5b4d09295457a3ca09c6d674,Schedule IT Small Industrial Service - Time-Of-Use 35 to 499 kW,2015-01-01 08:00:00+00:00,2009-02-01 13:00:00+00:00,,,,,,,False,5.9110198494182065,excluded,only 5.9 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6d0aec4f024411ecb11d,E-20 Maximum demand of (1000 KW or more) (Secondary),Pacific Gas & Electric Co,69de817e6a1594eddb0e414d,E-20 Maximum demand of (1000 KW or more) (Secondary),2026-03-27 07:00:00+00:00,2014-01-01 08:00:00+00:00,574dbcac5457a3d3795e629f,E-20 Maximum demand of (1000 KW or more) (Secondary),2016-03-24 07:00:00+00:00,False,10.00684462696783,0.027294939432763066,False,12.229979466119097,included,ok
539f6d1bec4f024411ecb18b,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (under 2kV)",Southern California Edison Co,67574494cb9c1c6121067aaa,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (under 2kV)",2024-10-01 06:00:00+00:00,2014-01-01 08:00:00+00:00,539f6d1bec4f024411ecb18b,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option A (under 2kV)",2014-01-01 08:00:00+00:00,True,10.746064339493497,0.07705977986532409,False,10.746064339493497,included,ok
539f6d3cec4f024411ecb3a9,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 1801 - 2000 Watt,Modesto Irrigation District,5b2835735457a35e53e5d862,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 1801 - 2000 Watt,2017-09-01 07:00:00+00:00,2013-04-01 13:00:00+00:00,,,,,,,False,4.41615331964408,excluded,only 4.4 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
