family_id,family_display_name,family_utility_name,current_label,current_name,current_startdate,baseline_label,baseline_name,baseline_startdate,name_changed_over_window,actual_years_spanned,blended_demand_rate_cagr_10yr,blended_demand_rate_cagr_10yr_needs_review
539f7438ec4f024411ed05db,E-19 Medium General Demand TOU (Primary),Pacific Gas & Electric Co,6758af5fc5babc88b40fe41d,E-19 Medium General Demand TOU (Primary),2024-10-01 07:00:00+00:00,5400a3355257a3382999cb99,"E-19 -Medium General Demand- TOU (Primary, Mandatory)",2014-05-01 07:00:00+00:00,True,10.420260095824778,0.05240833976593362,False
539f74a0ec4f024411ed0a27,CI-TOD3: Commercial and Industrial TOD Primary (500-999 kW),Sacramento Municipal Utility District,68c0ca8b6f4f7d79f9018dbb,CI-TOD3: Commercial and Industrial TOD Primary (500-999 kW),2025-05-01 07:00:00+00:00,557aff945457a3e6728ba377,Medium General Service Time of Use GS-TOU2 (GUP_M),2015-04-10 07:00:00+00:00,True,10.05886379192334,-0.17873828926771274,False
539f74a1ec4f024411ed0a8b,"Time-Of-Use Agricultural and Pumping-Small to Medium: TOU-PA-2, Option D (at 220kV)",Southern California Edison Co,6757313a736d71dbcf099ef3,"Time-Of-Use Agricultural and Pumping-Small to Medium: TOU-PA-2, Option D (at 220kV)",2024-10-01 06:00:00+00:00,539f74a1ec4f024411ed0a8b,"Time-Of-Use Agricultural and Pumping-Small to Medium: TOU-PA-2, Option B (at 220kV)",2014-01-01 13:00:00+00:00,True,10.746064339493497,-0.12483943986545254,False
539f74e4ec4f024411ed0d3b,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option D (2kV-50kV)",Southern California Edison Co,675739adbe684656110eb22d,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option D (2kV-50kV)",2024-10-01 06:00:00+00:00,539f74e4ec4f024411ed0d3b,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option B (2kV-50kV)",2014-01-01 13:00:00+00:00,True,10.746064339493497,-0.10619885199394952,False
539f74f4ec4f024411ed0e0b,SCHEDULE A-2 GENERAL WHOLESALE POWER SERVICE,Imperial Irrigation District,54bff6f85357a3d9776bdba2,SCHEDULE A-2 GENERAL WHOLESALE POWER SERVICE,2015-01-01 07:00:00+00:00,539f74f4ec4f024411ed0e0b,SCHEDULE A-2 GENERAL WHOLESALE POWER SERVICE,1998-01-01 13:00:00+00:00,False,16.996577686516083,,False
539f7505ec4f024411ed0ed1,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (50kV-220kV)",Southern California Edison Co,675744a0c33fc66a3504cc90,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option E (50kV-220kV)",2024-10-01 06:00:00+00:00,539f7505ec4f024411ed0ed1,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option A (50kV-220kV)",2014-01-01 08:00:00+00:00,True,10.746064339493497,,False
539f7528ec4f024411ed10d1,A-1 Small General Service TOU  (Single-Phase),Pacific Gas & Electric Co,69de883c57e73279b70d783e,A-1 Small General Service TOU  (Single-Phase),2026-03-27 07:00:00+00:00,574cbefc5457a3992c5e629e,A-1 Small General Service TOU  (Single-Phase),2016-03-24 07:00:00+00:00,False,10.00684462696783,,False
539f754bec4f024411ed1291,CI-TOD3: Commercial and Industrial TOD Secondary (500-999 kW),Sacramento Municipal Utility District,68c0ca32d7afaa668b0dc6fb,CI-TOD3: Commercial and Industrial TOD Secondary (500-999 kW),2025-05-01 07:00:00+00:00,557afc6e5457a3f0108ba37c,Medium General Service Time of Use GS-TOU2 (GUS_M),2015-04-10 07:00:00+00:00,True,10.05886379192334,0.039217565613224314,False
539f75d4ec4f024411ed186d,Agriculture Power TOU rate (AG-4F),Pacific Gas & Electric Co,69dea868fef8e27e5706661e,Agriculture Power TOU rate (AG-4F),2026-03-27 07:00:00+00:00,574db0b65457a344795e629d,Agriculture Power TOU rate (AG-4F),2016-03-24 07:00:00+00:00,False,10.00684462696783,0.018076532243685772,False
539fb3dcec4f024bc1dbe2bb,A-10 Medium General Demand Service TOU (Transmission Voltage),Pacific Gas & Electric Co,69de8a32820adfee230a016b,A-10 Medium General Demand Service TOU (Transmission Voltage),2026-03-27 07:00:00+00:00,574cc7b65457a3f9595e62a0,A-10 Medium General Demand Service TOU (Transmission Voltage),2016-03-24 07:00:00+00:00,False,10.00684462696783,,False
